dataset,A,Z,species,nr,l,j,energy_MeV,orbital,state_type
Seminole synthetic,132,50,neutron,0,3,3.5,-21.602496672446012,,
Seminole synthetic,132,50,neutron,1,3,3.5,-2.4859449973590677,,
Seminole synthetic,132,50,neutron,0,4,3.5,-9.340960796432583,,
Seminole synthetic,132,50,neutron,0,4,4.5,-14.659041477313373,,
Seminole synthetic,132,50,neutron,0,5,4.5,-0.3622705467208914,,
Seminole synthetic,132,50,neutron,0,5,5.5,-7.201626453520396,,
Seminole synthetic,132,50,proton,0,0,0.5,-39.83257385896047,,
Seminole synthetic,132,50,proton,1,0,0.5,-25.635470200704088,,
Seminole synthetic,132,50,proton,2,0,0.5,-7.046225571353509,,
Seminole synthetic,132,50,proton,0,1,0.5,-34.03022669064546,,
Seminole synthetic,132,50,proton,1,1,0.5,-16.441411369022532,,
Seminole synthetic,132,50,proton,0,1,1.5,-34.986472278896045,,
Seminole synthetic,132,50,proton,1,1,1.5,-17.66657614872964,,
Seminole synthetic,132,50,proton,0,2,1.5,-27.057031651182957,,
Seminole synthetic,132,50,proton,1,2,1.5,-7.2537776146031145,,
Seminole synthetic,132,50,proton,0,2,2.5,-29.161712169161053,,
Seminole synthetic,132,50,proton,1,2,2.5,-9.374130058892716,,
Seminole synthetic,132,50,proton,0,3,2.5,-18.95659323399734,,
Seminole synthetic,132,50,proton,0,3,3.5,-22.52050869255176,,
Seminole synthetic,132,50,proton,1,3,3.5,-0.9452450524042606,,
Seminole synthetic,132,50,proton,0,4,3.5,-9.94309685364965,,
Seminole synthetic,132,50,proton,0,4,4.5,-15.162620165384826,,
Seminole synthetic,132,50,proton,0,5,4.5,-0.24589396968575797,,
Seminole synthetic,132,50,proton,0,5,5.5,-7.164921577106898,,
Seminole synthetic,100,50,neutron,0,0,0.5,-46.01142814985812,,
Seminole synthetic,100,50,neutron,1,0,0.5,-29.528500294731803,,
Seminole synthetic,100,50,neutron,2,0,0.5,-9.624627284516205,,
Seminole synthetic,100,50,neutron,0,1,0.5,-38.67545894206232,,
Seminole synthetic,100,50,neutron,1,1,0.5,-19.128619034033175,,
Seminole synthetic,100,50,neutron,2,1,0.5,-0.9757095331412513,,
Seminole synthetic,100,50,neutron,0,1,1.5,-39.875881067452646,,
Seminole synthetic,100,50,neutron,1,1,1.5,-20.606850788705938,,
Seminole synthetic,100,50,neutron,2,1,1.5,-1.706372734591187,,
Seminole synthetic,100,50,neutron,0,2,1.5,-30.247272604075953,,
Seminole synthetic,100,50,neutron,1,2,1.5,-9.20550201042485,,
Seminole synthetic,100,50,neutron,0,2,2.5,-32.874724608358676,,
Seminole synthetic,100,50,neutron,1,2,2.5,-11.592728693328354,,
Seminole synthetic,100,50,neutron,0,3,2.5,-20.756318839828534,,
Seminole synthetic,100,50,neutron,1,3,2.5,-0.16597547385841668,,
Seminole synthetic,100,50,neutron,0,3,3.5,-25.13327245140051,,
Seminole synthetic,100,50,neutron,1,3,3.5,-2.896971511054262,,
Seminole synthetic,100,50,neutron,0,4,3.5,-10.507108413333121,,
Seminole synthetic,100,50,neutron,0,4,4.5,-16.74067463278586,,
Seminole synthetic,100,50,neutron,0,5,5.5,-7.788553466155932,,
Seminole synthetic,100,50,proton,0,0,0.5,-29.6772056029147,,
Seminole synthetic,100,50,proton,1,0,0.5,-14.110705913134089,,
Seminole synthetic,100,50,proton,0,1,0.5,-22.97193733521744,,
Seminole synthetic,100,50,proton,1,1,0.5,-4.422817482960125,,
Seminole synthetic,100,50,proton,0,1,1.5,-24.2929867442876,,
Seminole synthetic,100,50,proton,1,1,1.5,-5.857374150398057,,
Seminole synthetic,100,50,proton,0,2,1.5,-15.119145233403474,,
Seminole synthetic,100,50,proton,0,2,2.5,-17.92094402606494,,
Seminole synthetic,100,50,proton,0,3,2.5,-6.190912760119363,,
