dataset,A,Z,species,nr,l,j,energy_MeV,orbital,state_type
Wahlborn synthetic,48,22,proton,1,1,1.5,-2.3772619897054046,,
Wahlborn synthetic,48,22,proton,0,2,1.5,-11.196393060707015,,
Wahlborn synthetic,48,22,proton,0,2,2.5,-16.32574611723726,,
Wahlborn synthetic,48,22,proton,0,3,3.5,-6.729976371060003,,
Wahlborn synthetic,60,28,neutron,0,0,0.5,-39.246443236488886,,
Wahlborn synthetic,60,28,neutron,1,0,0.5,-19.329512859731192,,
Wahlborn synthetic,60,28,neutron,2,0,0.5,-0.7727504383154896,,
Wahlborn synthetic,60,28,neutron,0,1,0.5,-29.748651443567084,,
Wahlborn synthetic,60,28,neutron,1,1,0.5,-7.649658558195823,,
Wahlborn synthetic,60,28,neutron,0,1,1.5,-31.49013142577594,,
Wahlborn synthetic,60,28,neutron,1,1,1.5,-9.765411566169028,,
Wahlborn synthetic,60,28,neutron,0,2,1.5,-19.189987999372786,,
Wahlborn synthetic,60,28,neutron,0,2,2.5,-22.98105345709347,,
Wahlborn synthetic,60,28,neutron,1,2,2.5,-1.323065009285943,,
Wahlborn synthetic,60,28,neutron,0,3,2.5,-7.710796943205809,,
Wahlborn synthetic,60,28,neutron,0,3,3.5,-13.945600220447462,,
Wahlborn synthetic,60,28,neutron,0,4,4.5,-4.58110814991943,,
Wahlborn synthetic,60,28,proton,0,0,0.5,-32.977604334897805,,
Wahlborn synthetic,60,28,proton,1,0,0.5,-13.246776195149382,,
Wahlborn synthetic,60,28,proton,0,1,0.5,-23.632103039001947,,
Wahlborn synthetic,60,28,proton,1,1,0.5,-1.5969931983221288,,
Wahlborn synthetic,60,28,proton,0,1,1.5,-25.581356711889185,,
Wahlborn synthetic,60,28,proton,1,1,1.5,-3.884267413412366,,
Wahlborn synthetic,60,28,proton,0,2,1.5,-13.147803092215803,,
Wahlborn synthetic,60,28,proton,0,2,2.5,-17.347749710693517,,
Wahlborn synthetic,60,28,proton,0,3,2.5,-1.6675642093961194,,
Wahlborn synthetic,60,28,proton,0,3,3.5,-8.529144267137468,,
Wahlborn synthetic,72,30,neutron,0,0,0.5,-37.05109653734941,,
Wahlborn synthetic,72,30,neutron,1,0,0.5,-19.062716621201815,,
Wahlborn synthetic,72,30,neutron,2,0,0.5,-1.2431401140652867,,
Wahlborn synthetic,72,30,neutron,0,1,0.5,-28.738177324734846,,
Wahlborn synthetic,72,30,neutron,1,1,0.5,-8.358608724157396,,
Wahlborn synthetic,72,30,neutron,0,1,1.5,-30.099458218452547,,
Wahlborn synthetic,72,30,neutron,1,1,1.5,-10.144313900879586,,
Wahlborn synthetic,72,30,neutron,0,2,1.5,-19.352794512964614,,
Wahlborn synthetic,72,30,neutron,0,2,2.5,-22.38218574067732,,
Wahlborn synthetic,72,30,neutron,1,2,2.5,-2.0480065509333962,,
Wahlborn synthetic,72,30,neutron,0,3,2.5,-9.014697842423354,,
Wahlborn synthetic,72,30,neutron,0,3,3.5,-14.114086235230557,,
Wahlborn synthetic,72,30,neutron,0,4,4.5,-5.475540281545969,,
Wahlborn synthetic,72,30,proton,0,0,0.5,-37.13920773829661,,
Wahlborn synthetic,72,30,proton,1,0,0.5,-18.40252579501738,,
Wahlborn synthetic,72,30,proton,0,1,0.5,-28.593989367148893,,
Wahlborn synthetic,72,30,proton,1,1,0.5,-6.741067864229094,,
Wahlborn synthetic,72,30,proton,0,1,1.5,-30.25254564318456,,
Wahlborn synthetic,72,30,proton,1,1,1.5,-8.991873766252361,,
Wahlborn synthetic,72,30,proton,0,2,1.5,-18.80074139572562,,
Wahlborn synthetic,72,30,proton,0,2,2.5,-22.472805658135737,,
Wahlborn synthetic,72,30,proton,1,2,2.5,-0.08615202407343381,,
Wahlborn synthetic,72,30,proton,0,3,2.5,-7.8108105600062405,,
Wahlborn synthetic,72,30,proton,0,3,3.5,-14.034288880307875,,
Wahlborn synthetic,72,30,proton,0,4,4.5,-5.099481640228574,,
Wahlborn synthetic,90,40,neutron,0,0,0.5,-39.9631262656993,,
Wahlborn synthetic,90,40,neutron,1,0,0.5,-23.429567968744976,,
Wahlborn synthetic,90,40,neutron,2,0,0.5,-4.755680480970654,,
Wahlborn synthetic,90,40,neutron,0,1,0.5,-32.600598994213485,,
Wahlborn synthetic,90,40,neutron,1,1,0.5,-13.160565752811586,,
Wahlborn synthetic,90,40,neutron,0,1,1.5,-33.68072925415546,,
Wahlborn synthetic,90,40,neutron,1,1,1.5,-14.788180344740251,,
Wahlborn synthetic,90,40,neutron,0,2,1.5,-24.123019331977417,,
Wahlborn synthetic,90,40,neutron,1,2,1.5,-3.7206814886105457,,
Wahlborn synthetic,90,40,neutron,0,2,2.5,-26.60068363688803,,
Wahlborn synthetic,90,40,neutron,1,2,2.5,-6.423375321095898,,
Wahlborn synthetic,90,40,neutron,0,3,2.5,-14.590173073677414,,
Wahlborn synthetic,90,40,neutron,0,3,3.5,-18.91314488788395,,
Wahlborn synthetic,90,40,neutron,0,4,3.5,-4.340052947623147,,
Wahlborn synthetic,90,40,neutron,0,4,4.5,-10.759953723412856,,
Wahlborn synthetic,90,40,neutron,0,5,5.5,-2.2817758901963225,,
Wahlborn synthetic,90,40,proton,0,0,0.5,-33.85816123889649,,
Wahlborn synthetic,90,40,proton,1,0,0.5,-17.310313356074094,,
Wahlborn synthetic,90,40,proton,0,1,0.5,-26.655739482909308,,
Wahlborn synthetic,90,40,proton,1,1,0.5,-6.83119716562928,,
Wahlborn synthetic,90,40,proton,0,1,1.5,-27.944386347003046,,
Wahlborn synthetic,90,40,proton,1,1,1.5,-8.703691060376567,,
Wahlborn synthetic,90,40,proton,0,2,1.5,-18.207040895040517,,
Wahlborn synthetic,90,40,proton,0,2,2.5,-21.110869187867195,,
Wahlborn synthetic,90,40,proton,1,2,2.5,-0.3334127670409659,,
Wahlborn synthetic,90,40,proton,0,3,2.5,-8.563860095447263,,
Wahlborn synthetic,90,40,proton,0,3,3.5,-13.586005369362354,,
Wahlborn synthetic,90,40,proton,0,4,4.5,-5.523674102528285,,
Wahlborn synthetic,100,50,neutron,0,0,0.5,-44.09456763069064,,
Wahlborn synthetic,100,50,neutron,1,0,0.5,-27.98268542366619,,
Wahlborn synthetic,100,50,neutron,2,0,0.5,-8.669479817313853,,
Wahlborn synthetic,100,50,neutron,0,1,0.5,-37.035102747572964,,
Wahlborn synthetic,100,50,neutron,1,1,0.5,-17.74465641652579,,
Wahlborn synthetic,100,50,neutron,2,1,0.5,-0.3647841843393725,,
Wahlborn synthetic,100,50,neutron,0,1,1.5,-38.029296520589554,,
Wahlborn synthetic,100,50,neutron,1,1,1.5,-19.3464758796554,,
Wahlborn synthetic,100,50,neutron,2,1,1.5,-1.301529199229943,,
Wahlborn synthetic,100,50,neutron,0,2,1.5,-28.834251915500143,,
Wahlborn synthetic,100,50,neutron,1,2,1.5,-7.889281317960165,,
Wahlborn synthetic,100,50,neutron,0,2,2.5,-31.14724514338897,,
Wahlborn synthetic,100,50,neutron,1,2,2.5,-10.758810468300494,,
Wahlborn synthetic,100,50,neutron,0,3,2.5,-19.52429883671865,,
Wahlborn synthetic,100,50,neutron,0,3,3.5,-23.627584116772358,,
Wahlborn synthetic,100,50,neutron,1,3,3.5,-2.5738977966443475,,
Wahlborn synthetic,100,50,neutron,0,4,3.5,-9.35334295829661,,
Wahlborn synthetic,100,50,neutron,0,4,4.5,-15.597312996641481,,
Wahlborn synthetic,100,50,neutron,0,5,5.5,-7.163201064053207,,
Wahlborn synthetic,100,50,proton,0,0,0.5,-27.901266777166214,,
Wahlborn synthetic,100,50,proton,1,0,0.5,-12.716422325499032,,
Wahlborn synthetic,100,50,proton,0,1,0.5,-21.465527911809815,,
Wahlborn synthetic,100,50,proton,1,1,0.5,-3.157729456950328,,
Wahlborn synthetic,100,50,proton,0,1,1.5,-22.593739952343444,,
Wahlborn synthetic,100,50,proton,1,1,1.5,-4.787451886211986,,
Wahlborn synthetic,100,50,proton,0,2,1.5,-13.819749464689485,,
Wahlborn synthetic,100,50,proton,0,2,2.5,-16.363535627243827,,
Wahlborn synthetic,100,50,proton,0,3,2.5,-5.037883296274715,,
Wahlborn synthetic,100,50,proton,0,3,3.5,-9.442498992869282,,
Wahlborn synthetic,100,50,proton,0,4,4.5,-1.9891844971503267,,
Wahlborn synthetic,132,50,neutron,0,0,0.5,-37.23203281653977,,
Wahlborn synthetic,132,50,neutron,1,0,0.5,-23.917468745038953,,
Wahlborn synthetic,132,50,neutron,2,0,0.5,-7.458219759042856,,
Wahlborn synthetic,132,50,neutron,0,1,0.5,-31.607410490241204,,
Wahlborn synthetic,132,50,neutron,1,1,0.5,-15.458102620779599,,
Wahlborn synthetic,132,50,neutron,2,1,0.5,-0.3155525660008536,,
Wahlborn synthetic,132,50,neutron,0,1,1.5,-32.25465820811367,,
Wahlborn synthetic,132,50,neutron,1,1,1.5,-16.57040357059162,,
Wahlborn synthetic,132,50,neutron,2,1,1.5,-1.0017442622236692,,
Wahlborn synthetic,132,50,neutron,0,2,1.5,-24.979061827968263,,
Wahlborn synthetic,132,50,neutron,1,2,1.5,-7.154146978854245,,
Wahlborn synthetic,132,50,neutron,0,2,2.5,-26.52044486607505,,
Wahlborn synthetic,132,50,neutron,1,2,2.5,-9.190281256885466,,
Wahlborn synthetic,132,50,neutron,0,3,2.5,-17.39596235781766,,
Wahlborn synthetic,132,50,neutron,0,3,3.5,-20.183609598897117,,
Wahlborn synthetic,132,50,neutron,1,3,3.5,-2.1008226463964963,,
Wahlborn synthetic,132,50,neutron,0,4,3.5,-9.039022093441496,,
Wahlborn synthetic,132,50,neutron,0,4,4.5,-13.358965418890062,,
Wahlborn synthetic,132,50,neutron,0,5,4.5,-0.1629094907113691,,
Wahlborn synthetic,132,50,neutron,0,5,5.5,-6.146339281239151,,
Wahlborn synthetic,132,50,proton,0,0,0.5,-38.45474427176097,,
Wahlborn synthetic,132,50,proton,1,0,0.5,-24.523964236790615,,
Wahlborn synthetic,132,50,proton,2,0,0.5,-6.339682959694933,,
Wahlborn synthetic,132,50,proton,0,1,0.5,-32.80984319219482,,
Wahlborn synthetic,132,50,proton,1,1,0.5,-15.364078010027375,,
Wahlborn synthetic,132,50,proton,0,1,1.5,-33.67647771475837,,
Wahlborn synthetic,132,50,proton,1,1,1.5,-16.80111641085415,,
Wahlborn synthetic,132,50,proton,0,2,1.5,-25.960963808003456,,
Wahlborn synthetic,132,50,proton,1,2,1.5,-6.128484734695058,,
Wahlborn synthetic,132,50,proton,0,2,2.5,-27.973687680361543,,
Wahlborn synthetic,132,50,proton,1,2,2.5,-8.883402543092762,,
Wahlborn synthetic,132,50,proton,0,3,2.5,-17.943796641460995,,
Wahlborn synthetic,132,50,proton,0,3,3.5,-21.54755533467206,,
Wahlborn synthetic,132,50,proton,1,3,3.5,-0.9268804704297764,,
Wahlborn synthetic,132,50,proton,0,4,3.5,-8.93263033036893,,
Wahlborn synthetic,132,50,proton,0,4,4.5,-14.527995600247756,,
Wahlborn synthetic,132,50,proton,0,5,5.5,-7.007827650441662,,
Wahlborn synthetic,208,82,neutron,0,0,0.5,-39.699787122853365,,
Wahlborn synthetic,208,82,neutron,1,0,0.5,-29.193622311560922,,
Wahlborn synthetic,208,82,neutron,2,0,0.5,-14.875378845220533,,
Wahlborn synthetic,208,82,neutron,3,0,0.5,-1.0771653368337077,,
Wahlborn synthetic,208,82,neutron,0,1,0.5,-35.482335265739536,,
Wahlborn synthetic,208,82,neutron,1,1,0.5,-22.317528573504447,,
Wahlborn synthetic,208,82,neutron,2,1,0.5,-7.002296368320532,,
Wahlborn synthetic,208,82,neutron,0,1,1.5,-35.85144501042155,,
Wahlborn synthetic,208,82,neutron,1,1,1.5,-23.051253646680177,,
Wahlborn synthetic,208,82,neutron,2,1,1.5,-7.901854438801588,,
Wahlborn synthetic,208,82,neutron,0,2,1.5,-30.402847051719906,,
Wahlborn synthetic,208,82,neutron,1,2,1.5,-15.16031922608126,,
Wahlborn synthetic,208,82,neutron,2,2,1.5,-0.4425653675987093,,
Wahlborn synthetic,208,82,neutron,0,2,2.5,-31.316198215165297,,
Wahlborn synthetic,208,82,neutron,1,2,2.5,-16.627552202642605,,
Wahlborn synthetic,208,82,neutron,2,2,2.5,-1.6348469732890025,,
Wahlborn synthetic,208,82,neutron,0,3,2.5,-24.492712446452273,,
Wahlborn synthetic,208,82,neutron,1,3,2.5,-7.739656646502158,,
Wahlborn synthetic,208,82,neutron,0,3,3.5,-26.20657663930652,,
Wahlborn synthetic,208,82,neutron,1,3,3.5,-10.03963144681522,,
Wahlborn synthetic,208,82,neutron,0,4,3.5,-17.839186270965193,,
Wahlborn synthetic,208,82,neutron,1,4,3.5,-0.44714608799495603,,
Wahlborn synthetic,208,82,neutron,0,4,4.5,-20.605786512835714,,
Wahlborn synthetic,208,82,neutron,1,4,4.5,-3.456925958426964,,
Wahlborn synthetic,208,82,neutron,0,5,4.5,-10.532630927541359,,
Wahlborn synthetic,208,82,neutron,0,5,5.5,-14.57986912949254,,
Wahlborn synthetic,208,82,proton,0,0,0.5,-32.81576271285263,,
Wahlborn synthetic,208,82,proton,1,0,0.5,-22.211829076969927,,
Wahlborn synthetic,208,82,proton,2,0,0.5,-7.369770656668298,,
Wahlborn synthetic,208,82,proton,0,1,0.5,-28.973340440730194,,
Wahlborn synthetic,208,82,proton,1,1,0.5,-15.199656575269222,,
Wahlborn synthetic,208,82,proton,0,1,1.5,-29.512943664460774,,
Wahlborn synthetic,208,82,proton,1,1,1.5,-16.12273104747462,,
Wahlborn synthetic,208,82,proton,2,1,1.5,-0.04444853573681274,,
Wahlborn synthetic,208,82,proton,0,2,1.5,-24.0737016271923,,
Wahlborn synthetic,208,82,proton,1,2,1.5,-7.842583087096957,,
Wahlborn synthetic,208,82,proton,0,2,2.5,-25.328258374054307,,
Wahlborn synthetic,208,82,proton,1,2,2.5,-9.696366399844152,,
Wahlborn synthetic,208,82,proton,0,3,2.5,-18.175243720932727,,
Wahlborn synthetic,208,82,proton,1,3,2.5,-0.04675284972426866,,
Wahlborn synthetic,208,82,proton,0,3,3.5,-20.4452040199082,,
Wahlborn synthetic,208,82,proton,1,3,3.5,-3.007872524257935,,
Wahlborn synthetic,208,82,proton,0,4,3.5,-11.393216046523959,,
Wahlborn synthetic,208,82,proton,0,4,4.5,-14.978765981988358,,
Wahlborn synthetic,208,82,proton,0,5,4.5,-3.8248513166333282,,
Wahlborn synthetic,208,82,proton,0,5,5.5,-9.009704810755903,,
Experimental,16,8,neutron,0,1,0.5,-15.66,1p1/2,hole
Experimental,16,8,neutron,0,2,2.5,-4.14,1d5/2,particle
Experimental,16,8,neutron,1,0,0.5,-3.27,2s1/2,particle
Experimental,16,8,proton,0,1,0.5,-12.13,1p1/2,hole
Experimental,16,8,proton,0,2,2.5,-0.6,1d5/2,particle
Experimental,16,8,proton,1,0,0.5,-0.11,2s1/2,particle
Experimental,40,20,neutron,0,2,2.5,-22.39,1d5/2,hole
Experimental,40,20,neutron,1,0,0.5,-18.19,2s1/2,hole
Experimental,40,20,neutron,0,2,1.5,-15.64,1d3/2,hole
Experimental,40,20,neutron,0,3,3.5,-8.36,1f7/2,particle
Experimental,40,20,neutron,1,1,1.5,-5.84,2p3/2,particle
Experimental,40,20,neutron,1,1,0.5,-4.2,2p1/2,particle
Experimental,40,20,neutron,0,3,2.5,-1.56,1f5/2,particle
Experimental,40,20,proton,0,2,2.5,-15.07,1d5/2,hole
Experimental,40,20,proton,1,0,0.5,-10.92,2s1/2,hole
Experimental,40,20,proton,0,2,1.5,-8.33,1d3/2,hole
Experimental,40,20,proton,0,3,3.5,-1.09,1f7/2,particle
Experimental,48,20,neutron,0,2,2.5,-15.61,1d5/2,hole
Experimental,48,20,neutron,1,0,0.5,-12.55,2s1/2,hole
Experimental,48,20,neutron,0,2,1.5,-12.53,1d3/2,hole
Experimental,48,20,neutron,0,3,3.5,-10.0,1f7/2,hole
Experimental,48,20,neutron,1,1,1.5,-4.6,2p3/2,particle
Experimental,48,20,neutron,1,1,0.5,-2.86,2p1/2,particle
Experimental,48,20,neutron,0,3,2.5,-1.2,1f5/2,particle
Experimental,48,20,proton,0,2,2.5,-21.47,1d5/2,hole
Experimental,48,20,proton,0,2,1.5,-16.18,1d3/2,hole
Experimental,48,20,proton,1,0,0.5,-16.1,2s1/2,hole
Experimental,48,20,proton,0,3,3.5,-9.35,1f7/2,particle
Experimental,48,20,proton,1,1,1.5,-6.44,2p3/2,particle
Experimental,48,20,proton,1,1,0.5,-4.64,2p1/2,particle
Experimental,56,28,neutron,0,3,3.5,-16.64,1f7/2,hole
Experimental,56,28,neutron,1,1,1.5,-10.25,2p3/2,particle
Experimental,56,28,neutron,0,3,2.5,-9.48,1f5/2,particle
Experimental,56,28,neutron,1,1,0.5,-9.13,2p1/2,particle
Experimental,56,28,proton,0,3,3.5,-7.17,1f7/2,hole
Experimental,56,28,proton,1,1,1.5,-0.69,2p3/2,particle
Experimental,90,40,neutron,0,3,3.5,-21.0,1f7/2,hole
Experimental,90,40,neutron,1,1,1.5,-14.5,2p3/2,hole
Experimental,90,40,neutron,0,3,2.5,-14.1,1f5/2,hole
Experimental,90,40,neutron,1,1,0.5,-12.6,2p1/2,hole
Experimental,90,40,neutron,0,4,4.5,-11.97,1g9/2,hole
Experimental,90,40,neutron,1,2,2.5,-7.19,2d5/2,particle
Experimental,90,40,neutron,2,0,0.5,-6.0,3s1/2,particle
Experimental,90,40,neutron,1,2,1.5,-5.1,2d3/2,particle
Experimental,90,40,neutron,0,4,3.5,-4.8,1g7/2,particle
Experimental,90,40,neutron,0,5,5.5,-4.4,1h11/2,particle
Experimental,100,50,neutron,1,1,0.5,-18.38,2p1/2,systematics
Experimental,100,50,neutron,0,4,4.5,-17.93,1g9/2,systematics
Experimental,100,50,neutron,1,2,2.5,-11.13,2d5/2,systematics
Experimental,100,50,neutron,0,4,3.5,-10.93,1g7/2,systematics
Experimental,100,50,neutron,2,0,0.5,-9.3,3s1/2,systematics
Experimental,100,50,neutron,1,2,1.5,-9.2,2d3/2,systematics
Experimental,100,50,neutron,0,5,5.5,-8.6,1h11/2,systematics
Experimental,100,50,proton,0,3,2.5,-8.71,1f5/2,systematics
Experimental,100,50,proton,1,1,1.5,-6.38,2p3/2,systematics
Experimental,100,50,proton,1,1,0.5,-3.53,2p1/2,systematics
Experimental,100,50,proton,0,4,4.5,-2.92,1g9/2,systematics
Experimental,132,50,neutron,0,4,3.5,-9.75,1g7/2,hole
Experimental,132,50,neutron,1,2,2.5,-8.97,2d5/2,hole
Experimental,132,50,neutron,2,0,0.5,-7.64,3s1/2,hole
Experimental,132,50,neutron,0,5,5.5,-7.54,1h11/2,hole
Experimental,132,50,neutron,1,2,1.5,-7.31,2d3/2,hole
Experimental,132,50,neutron,1,3,3.5,-2.47,2f7/2,particle
Experimental,132,50,neutron,2,1,1.5,-1.57,3p3/2,particle
Experimental,132,50,neutron,0,5,4.5,-0.86,1h9/2,particle
Experimental,132,50,neutron,1,3,2.5,-0.42,2f5/2,particle
Experimental,132,50,proton,1,1,0.5,-16.01,2p1/2,hole
Experimental,132,50,proton,0,4,4.5,-15.71,1g9/2,hole
Experimental,132,50,proton,0,4,3.5,-9.68,1g7/2,particle
Experimental,132,50,proton,1,2,2.5,-8.72,2d5/2,particle
Experimental,132,50,proton,1,2,1.5,-6.97,2d3/2,particle
Experimental,132,50,proton,0,5,5.5,-6.89,1h11/2,particle
Experimental,208,82,neutron,0,5,4.5,-11.4,1h9/2,hole
Experimental,208,82,neutron,1,3,3.5,-9.81,2f7/2,hole
Experimental,208,82,neutron,0,6,6.5,-9.24,1i13/2,hole
Experimental,208,82,neutron,2,1,1.5,-8.26,3p3/2,hole
Experimental,208,82,neutron,1,3,2.5,-7.94,2f5/2,hole
Experimental,208,82,neutron,2,1,0.5,-7.37,3p1/2,hole
Experimental,208,82,neutron,1,4,4.5,-3.94,2g9/2,particle
Experimental,208,82,neutron,0,6,5.5,-3.16,1i11/2,particle
Experimental,208,82,neutron,0,7,7.5,-2.51,1j15/2,particle
Experimental,208,82,neutron,2,2,2.5,-2.37,3d5/2,particle
Experimental,208,82,neutron,3,0,0.5,-1.9,4s1/2,particle
Experimental,208,82,neutron,1,4,3.5,-1.44,2g7/2,particle
Experimental,208,82,neutron,2,2,1.5,-1.4,3d3/2,particle
Experimental,208,82,proton,0,4,3.5,-12.0,1g7/2,hole
Experimental,208,82,proton,1,2,2.5,-9.82,2d5/2,hole
Experimental,208,82,proton,0,5,5.5,-9.36,1h11/2,hole
Experimental,208,82,proton,1,2,1.5,-8.36,2d3/2,hole
Experimental,208,82,proton,2,0,0.5,-8.01,3s1/2,hole
Experimental,208,82,proton,0,5,4.5,-3.8,1h9/2,particle
Experimental,208,82,proton,1,3,3.5,-2.9,2f7/2,particle
Experimental,208,82,proton,0,6,6.5,-2.1,1i13/2,particle
Experimental,208,82,proton,1,3,2.5,-0.97,2f5/2,particle
Experimental,208,82,proton,2,1,1.5,-0.68,3p3/2,particle
Experimental,208,82,proton,2,1,0.5,-0.16,3p1/2,particle
